"","ERR688505_500K_merged_Abundance","ERR688506_500K_merged_Abundance","ERR688507_500K_merged_Abundance","ERR688508_500K_merged_Abundance","ERR688509_500K_merged_Abundance","ERR688510_500K_merged_Abundance","ERR688511_500K_merged_Abundance","ERR688512_500K_merged_Abundance","ERR688513_500K_merged_Abundance","ERR688514_500K_merged_Abundance","ERR688515_500K_merged_Abundance","ERR688516_500K_merged_Abundance","ERR688517_500K_merged_Abundance","ERR688518_500K_merged_Abundance","ERR688519_500K_merged_Abundance","ERR688520_500K_merged_Abundance","ERR688521_500K_merged_Abundance","ERR688522_500K_merged_Abundance","ERR688523_500K_merged_Abundance","ERR688524_500K_merged_Abundance","ERR688525_500K_merged_Abundance","ERR688526_500K_merged_Abundance","ERR688527_500K_merged_Abundance","ERR688528_500K_merged_Abundance","ERR688529_500K_merged_Abundance","ERR688530_500K_merged_Abundance","ERR688531_500K_merged_Abundance","ERR688532_500K_merged_Abundance","ERR688533_500K_merged_Abundance","ERR688534_500K_merged_Abundance","ERR688535_500K_merged_Abundance","ERR688536_500K_merged_Abundance","ERR688537_500K_merged_Abundance","ERR688538_500K_merged_Abundance","ERR688539_500K_merged_Abundance","ERR688540_500K_merged_Abundance","ERR688541_500K_merged_Abundance","ERR688542_500K_merged_Abundance","ERR688543_500K_merged_Abundance","ERR688544_500K_merged_Abundance","ERR688545_500K_merged_Abundance","ERR688546_500K_merged_Abundance","ERR688547_500K_merged_Abundance","ERR688548_500K_merged_Abundance","ERR688549_500K_merged_Abundance","ERR688550_500K_merged_Abundance","ERR688551_500K_merged_Abundance","ERR688552_500K_merged_Abundance","ERR688553_500K_merged_Abundance","ERR688554_500K_merged_Abundance","ERR688555_500K_merged_Abundance","ERR688556_500K_merged_Abundance","ERR688557_500K_merged_Abundance","ERR688558_500K_merged_Abundance","ERR688559_500K_merged_Abundance","ERR688560_500K_merged_Abundance","ERR688561_500K_merged_Abundance","ERR688562_500K_merged_Abundance","ERR688563_500K_merged_Abundance","ERR688564_500K_merged_Abundance","ERR688565_500K_merged_Abundance","ERR688566_500K_merged_Abundance","ERR688567_500K_merged_Abundance","ERR688568_500K_merged_Abundance","ERR688569_500K_merged_Abundance","ERR688570_500K_merged_Abundance","ERR688571_500K_merged_Abundance","ERR688572_500K_merged_Abundance","ERR688573_500K_merged_Abundance","ERR688574_500K_merged_Abundance","ERR688575_500K_merged_Abundance","ERR688576_500K_merged_Abundance","ERR688577_500K_merged_Abundance","ERR688578_500K_merged_Abundance","ERR688579_500K_merged_Abundance","ERR688580_500K_merged_Abundance","ERR688581_500K_merged_Abundance","ERR688582_500K_merged_Abundance","ERR688583_500K_merged_Abundance","ERR688584_500K_merged_Abundance","ERR688585_500K_merged_Abundance","ERR688586_500K_merged_Abundance","ERR688587_500K_merged_Abundance","ERR688588_500K_merged_Abundance","ERR688589_500K_merged_Abundance","ERR688590_500K_merged_Abundance","ERR688591_500K_merged_Abundance","ERR688592_500K_merged_Abundance","ERR688593_500K_merged_Abundance","ERR688594_500K_merged_Abundance","ERR688595_500K_merged_Abundance","ERR688596_500K_merged_Abundance","ERR688597_500K_merged_Abundance","ERR688598_500K_merged_Abundance","ERR688599_500K_merged_Abundance","ERR688600_500K_merged_Abundance","ERR688601_500K_merged_Abundance","ERR688602_500K_merged_Abundance","ERR688603_500K_merged_Abundance","ERR688604_500K_merged_Abundance","ERR688605_500K_merged_Abundance","ERR688606_500K_merged_Abundance","ERR688607_500K_merged_Abundance","ERR688608_500K_merged_Abundance","ERR688609_500K_merged_Abundance","ERR688610_500K_merged_Abundance","ERR688611_500K_merged_Abundance","ERR688612_500K_merged_Abundance","ERR688613_500K_merged_Abundance","ERR688614_500K_merged_Abundance","ERR688615_500K_merged_Abundance","ERR688616_500K_merged_Abundance","ERR688617_500K_merged_Abundance","ERR688618_500K_merged_Abundance","ERR688619_500K_merged_Abundance","ERR688620_500K_merged_Abundance","ERR688621_500K_merged_Abundance","ERR688622_500K_merged_Abundance","ERR688623_500K_merged_Abundance","ERR688624_500K_merged_Abundance","ERR688625_500K_merged_Abundance","ERR688626_500K_merged_Abundance","ERR688627_500K_merged_Abundance","ERR688628_500K_merged_Abundance","ERR688629_500K_merged_Abundance","ERR688630_500K_merged_Abundance","ERR688631_500K_merged_Abundance","ERR688632_500K_merged_Abundance","ERR688633_500K_merged_Abundance","ERR688634_500K_merged_Abundance","ERR688635_500K_merged_Abundance","ERR688636_500K_merged_Abundance","ERR688637_500K_merged_Abundance","ERR688638_500K_merged_Abundance","ERR688639_500K_merged_Abundance","ERR688640_500K_merged_Abundance","ERR688641_500K_merged_Abundance","ERR688642_500K_merged_Abundance","ERR688643_500K_merged_Abundance","ERR688644_500K_merged_Abundance","ERR688645_500K_merged_Abundance","ERR688646_500K_merged_Abundance","ERR688647_500K_merged_Abundance","ERR688648_500K_merged_Abundance","ERR688649_500K_merged_Abundance","ERR688650_500K_merged_Abundance","ERR688651_500K_merged_Abundance","ERR710424_500K_merged_Abundance","ERR710425_500K_merged_Abundance","ERR710426_500K_merged_Abundance","ERR710427_500K_merged_Abundance","ERR710428_500K_merged_Abundance","ERR710429_500K_merged_Abundance","ERR710430_500K_merged_Abundance","ERR710431_500K_merged_Abundance","ERR710432_500K_merged_Abundance"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0,0,0,0,0,0,0,0,0.000292921,0,0,0.000246703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03264e-05,9.04738e-05,0,0.000344316,0,0,0,0,0,0,0.000160341,0,0.000222298,0,0.000105832,0,6.99569e-05,0.00025972,7.36231e-05,0,0,0,0,0,0,0,0.000213358,0,0.000130846,0.00035683,0,0.000190578,0,6.04316e-05,0,0,0.00012595,0,0,0.000158531,0,0,0,0,0,0,0.000193338,0,0,0.000262972,8.30143e-05,0,9.72956e-05,0,0,5.64093e-05,0,0,0,0,0,0,0,0,0.000257318,0,0,0,0,0,0,0,0,8.5911e-05,0,0,0,0,0,0,0,0.000183798,0,0,0,0,0,0,7.07938e-05,0,0.000103096,0,0,0,0.00011045,0,0,0,7.94157e-05,0,0.000251596,0.000280245,0,0,0,0,0,0.000304824,0,0.000132662,0,0.000131023,0,0,0.000164107,0,5.05096e-05,0,0,0,0.000131131,0,0,0,0,0,0,0,0,0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0,0,0,0,0,0,0,0,4.70117e-05,0,0,3.34826e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.146e-05,0,0,0,0,0,0,1.93005e-05,0,1.72243e-05,0,0,0,0,3.01393e-05,0,0,0,0,0,0,0,0,6.30452e-05,0,1.76857e-05,0,0,1.96448e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82135e-05,0,0,6.94851e-05,0,0,1.35363e-05,0,0,0,0,0,0,0,0,0,0,0,7.38792e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000163053,0,0,0,0,0,0,0,0.000183993,0,0,7.04252e-05,0,0,0,5.53112e-05,0,0,0,7.48419e-05,0,0,4.48038e-05,0,4.1273e-05,0,0,9.57865e-05,6.98664e-05,0.000285636,0,0,0,0,0,6.49447e-05,0.000171102,0,0.000282037,0,5.45751e-05,0,0,0.000120051,3.80135e-05,0,0,0,0,0,0,0,0.000108495,0,5.65929e-05,0.000257141,0,9.97932e-05,0,0,4.26967e-05,0,6.75115e-05,0,0,9.66975e-05,0,0,0,0,0.000149773,7.96272e-05,0.000168815,0.000145764,9.88788e-05,8.16572e-05,0.000210854,0,0.000149952,0,0,0.000137579,0,0,0,8.33972e-05,0,0,0,0,0.000197192,0,0,0,0,0,0,0,0,7.57494e-05,0,0,0,0,0,0,0,0.000147258,3.5928e-05,0,0,0,0,4.40064e-05,0.00013368,0,3.13453e-05,0,0,0,8.21093e-05,0,5.68639e-05,0,0.000150473,5.67166e-05,0.000242405,0.000183094,0.000120743,8.75565e-05,0,0,0,0.00027783,0.000139083,2.07235e-05,0,0.000101344,3.28794e-05,0.000193193,8.80583e-05,5.57419e-05,5.16796e-05,0.000468711,0.000138729,0.000335152,0,0.00012691,0.000298584,0,9.06979e-05,0.000107707,6.27107e-05,0,9.86353e-05,0.00010414
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000466192,0.000336419,0.000573634,0.000475375,0.000689682,0.000487165,0.000541404,0.000460799,0.000427013,0.000435591,0.000246139,0.00047662,0.000165821,0.000582847,0.000653207,0.000751471,0.000533134,0.00047606,0.000531378,0.000122622,0.00034123,0.000470495,0.00031033,0.000341245,0.000268552,0.000608517,0.000697682,0.000469315,0.000325135,0.000361361,0.000574463,0.000374797,0.000625774,0.000508096,0.0005522,0.000330696,0.000265922,0.000552197,0.000314984,0.000323911,0.000321242,0.000443205,0.000477327,0.000386636,0.000470977,0.000633191,0.000391422,0.000561053,0.000409755,0.00054116,0.000652042,0.000437286,0.000347416,0.000499211,0.000415162,0.000454839,0.000515486,0.000517563,0.00051124,0.000467319,0.000234247,0.000797115,0.000299952,0.000465258,0.000285393,0.000224073,0.000430444,0.000567632,0.000447755,0.00030778,0,0.000322853,0.000244911,0.000179205,0.00016711,0.000380242,0.000257673,0.000131989,0.000148652,0.000606488,0.000414964,0.000278312,0.000419396,0.000740147,0.00041195,0.000258109,0.000620865,0.000421855,0.000479303,0.000610097,0.000333025,0.000513292,0.000433031,0.000606645,0.000573651,0.000240563,0.000547886,0.000687258,0.000486098,0.000354944,0.000467732,0.000491804,0.000462733,0.000553676,0.000339913,0.00022586,0.000414369,0.000428414,0.000566706,0.000215227,0.000685609,0.000606366,0.000633135,0.000330301,0.00030833,0.000676355,0.00046999,0.0004165,0.000479182,0.000330401,0.000483636,0.000221043,0.000265857,0.000398329,0.00028308,0.000316734,0.000322822,0.000307431,0.000332145,0.000199811,0.000265595,0.000429832,0.00011157,0.000296244,0.000267276,0.000367548,0.000465668,0.000279575,0.000117491,6.02153e-05,0.000320685,0.000462104,0.000388263,3.59829e-05,0.000370862,0.000179577,0.000306384,0.000389489,0.00020434,0.000368695,0.000308335,0.000363705,0.000443601,0.000359834,0.000353546,0.000267362
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000484576,0.000343583,0.000606967,0.000562941,0.000697396,0.000529084,0.000623075,0.000522401,0.000433873,0.000443784,0.000299076,0.000486204,0.000168645,0.000615517,0.00071886,0.000759686,0.000514581,0.000568185,0.000581258,0.000177136,0.000376131,0.000505225,0.000272919,0.000360487,0.000283125,0.000646834,0.000722073,0.000453722,0.000399461,0.000360659,0.000578366,0.000374558,0.000656252,0.000586144,0.000560485,0.000383998,0.000257788,0.000557161,0.00032832,0.000387125,0.00033805,0.00050426,0.000520754,0.000399201,0.000474428,0.000641038,0.000390161,0.000571138,0.000461957,0.000542151,0.000690269,0.000460634,0.00034802,0.000539561,0.000464377,0.00046494,0.000530514,0.000516657,0.000512516,0.000506933,0.000277048,0.000874128,0.000323516,0.000530222,0.000319311,0.000229718,0.000409807,0.000594802,0.000444494,0.000388935,0.000193571,0.000304808,0.000227244,0.000192007,0.000167259,0.000376271,0.00024642,0.000138062,0.00015397,0.000645413,0.000446067,0.000270281,0.00040301,0.0007925,0.000494525,0.000262868,0.000642037,0.000400356,0.000491368,0.000606544,0.0003499,0.000514803,0.000494665,0.000691521,0.000593319,0.000255309,0.000582786,0.000695021,0.000551424,0.000393822,0.000496785,0.000493931,0.000502922,0.000591469,0.00034102,0.00022029,0.000407255,0.000482224,0.000584156,0.000251113,0.000708229,0.000649093,0.000665631,0.000336002,0.000287305,0.000709697,0.000497367,0.000390599,0.000510117,0.000385229,0.00047873,0.000242663,0.000265617,0.000446817,0.000297469,0.000316025,0.000328651,0.000316092,0.000344099,0.000192875,0.000216177,0.000436846,9.53541e-05,0.000311539,0.000262396,0.000379846,0.000488004,0.000244781,0.000104896,7.23436e-05,0.000294725,0.000479859,0.000374393,4.11898e-05,0.00037101,0.000159714,0.00031697,0.000343491,0.000182115,0.000360176,0.000342183,0.000345082,0.000461936,0.000351453,0.000401499,0.000255433
"ARO-PWY: chorismate biosynthesis I",0.00038592,0.00035034,0.000542085,0.000456719,0.000517565,0.000515611,0.000547844,0.000515013,0.000469904,0.000398207,0.000317353,0.0004161,0.000232772,0.000542075,0.000646621,0.000614303,0.000614837,0.000447271,0.000429663,0.000123368,0.000321046,0.000435335,0.000202668,0.000320874,0.000306924,0.000640472,0.000598,0.000379233,0.000450859,0.00030894,0.000523928,0.000493329,0.000581095,0.000499123,0.000599348,0.00028508,0.000306878,0.000570989,0.000315964,0.000316712,0.000306713,0.000521815,0.000445549,0.000366495,0.000413241,0.000520479,0.000298572,0.00050171,0.000275198,0.000613781,0.000580505,0.000415046,0.000403834,0.000447467,0.000390961,0.000327941,0.000576753,0.000499931,0.000623478,0.000405509,0.000187041,0.000668094,0.000289099,0.000474615,0.000268682,0.000159813,0.000452623,0.000542913,0.000398004,0.000368293,0.000247871,0.000291251,0.000253676,0.000201705,0.000173738,0.000354477,0.000255623,0.000254354,0.000212536,0.000650868,0.000453936,0.000299355,0.000499766,0.000703539,0.000378358,0.000273217,0.000668296,0.00039556,0.000425213,0.000582932,0.000247021,0.000411953,0.000416373,0.000578817,0.000520425,0.000188143,0.000440063,0.000528815,0.000549426,0.000264307,0.000459732,0.000577385,0.000523585,0.000433978,0.000369814,0.000185539,0.000326382,0.00042501,0.000523982,0.000228204,0.000669193,0.000504503,0.000539967,0.000281018,0.00027751,0.000611968,0.000455665,0.000425697,0.000513908,0.000195882,0.000409106,0.00020657,0.000198272,0.000422394,0.000306152,0.000236761,0.00042358,0.000293477,0.000295934,0.000270375,0.000172278,0.000444562,0.000159443,0.000282117,0.000283171,0.000335497,0.000473151,0.000276358,0.00024539,0.000413873,0.000382722,0.000399806,0.000375077,0.000493824,0.000295416,0.000355921,0.000328679,0.000304037,0.000250404,0.000240298,0.000350209,0.000305683,0.000338226,0.000330895,0.000342762,0.000225726
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0.000178294,0.000135761,5.25629e-05,0,0.000110129,0.000156563,0.000250166,0.000210965,0.000307484,0.00012228,5.62955e-05,0.000139637,8.31073e-05,0.000195028,0.000175067,0.000100554,0.000192837,0.000228351,8.10516e-05,0.000144292,7.17618e-05,0.000179704,3.85222e-05,0,0,0.000141313,0.000479756,0.000303805,0.000172546,0.000520607,0.000226561,0.000211281,0.000396592,0.00016159,0.000200207,9.23574e-05,0.000288941,0.000181519,0.000465322,0,0.000130962,0.000115472,0,0.000287209,0.000147267,0.000214174,3.22134e-05,0.000134697,8.32141e-05,0.000219274,0.000107049,0.000165716,0.000316437,5.70976e-05,0.00013095,0.000345879,0.00036077,0.000361176,0.000146982,0.000156038,3.99796e-05,0.000214809,0.000123825,0.000272908,0,0.000186042,0.000175242,0.000200278,0.00013191,0,0.000150684,5.80527e-05,0.000243826,6.67879e-05,7.60695e-05,0.000295212,0.000215832,0,0.000216889,0.000207743,0.000116221,0.000136431,0.000190278,0.000315535,8.0366e-05,0.000114466,0.000310889,0.000123881,3.63645e-05,0.000347647,0.00031492,0.000116911,0.000112843,0.000391993,0.00029745,3.98315e-05,6.5834e-05,0.000260987,0.000169344,0.000119147,0.000137404,0.000170108,0.000283679,0.000118846,0.000105419,2.73444e-05,0.000128163,0.000299912,0.000139474,4.2955e-05,0.000216717,0.000294277,0.000236574,8.50107e-05,0.000126781,0.000182566,0.00035352,0.000206075,0.000145584,0.000107637,6.28166e-05,0.000103483,3.79028e-05,0.000102122,0.000243346,0.000135895,0.000416637,0.000346882,0.000103971,6.13106e-05,3.87932e-05,0.000143091,0.000304987,0.000442076,0.000138614,0.00023288,0.000170462,0.000116511,0.000410285,0.000401936,0.000189923,0.000114017,0.000117013,0.000528459,0.000144716,0.000274266,8.4879e-05,5.43109e-05,0.000214548,0.000145616,5.55961e-05,8.18071e-05,0.00010364,0.000184785,7.05449e-05,5.01618e-05
"AST-PWY: L-arginine degradation II (AST pathway)",0,0,0,0,0,0,0,0,9.43573e-05,0,0,2.66274e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72649e-05,4.86406e-05,0,0.000163427,0,0,0,0,0,0,4.0786e-05,0,9.99479e-05,0,1.44514e-05,0,0,9.89483e-05,0,0,0,0,0,0,0,0,7.47056e-05,0,2.04964e-05,0.000156944,0,5.52684e-05,0,0,0,0,0,0,0,4.2784e-05,0,0,0,0,0,0,5.79863e-05,0,0,9.16347e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11366e-05,0,0,0,2.47052e-05,0,0,0,0,6.13957e-05,0,0,0,0,0,0,0,0,0,5.42091e-05,0.000121872,0,0,0,0,0,0.000146897,0,7.33898e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",6.66438e-05,0,0,0,0,0,0,0,0.000147091,0,0,4.90949e-05,0,0,0,0,0,4.91821e-05,0,4.85211e-05,0,0,0,0,0,0,5.57212e-05,7.08432e-05,0,0.000252082,0,0,0,0,0,0,0.000132223,0,0.000228046,0,3.94384e-05,0,0,0.000177312,0,0,0,0,0,0,0,0,0.000149755,0,2.74793e-05,0.000319087,0,0.000107472,0,0,0,0,6.64793e-05,0,0,0.000108877,0,0,9.44632e-05,0,0,0,0.000146651,0,0,0.000172659,7.6234e-05,0,0.000118501,0,0,0,0,0,0,0,0,0,0,0,0.000220742,0,0,2.24257e-05,0,0,0,0,0,9.25464e-05,0,0,0,0,0,0,0,0.00014226,0,0,0,7.43259e-05,0,0,7.87274e-05,0,7.58938e-05,0,0,4.94533e-05,7.33639e-05,0,0,0,0.000130451,0,0.000261527,0.000274505,5.35759e-05,0,0,0,0,0.000320209,0,0.000175998,0,7.59983e-05,0,0,9.25537e-05,0,4.92063e-05,0.000162036,0,0,6.24928e-05,0,0,0,0,0,0,0,0,0
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.000378936,0.000250888,0.000492438,0.000475416,0.000489067,0.000533151,0.000604448,0.000581445,0.000648292,0.00038749,0.000283411,0.000396522,0.000159006,0.000526837,0.000574743,0.000420673,0.00058526,0.000555845,0.000397258,0.000156835,0.000327276,0.000456233,0.000127344,9.45307e-05,0.000279705,0.000560309,0.000542549,0.000592178,0.000416074,0.000473167,0.000651805,0.000418834,0.000580598,0.000589735,0.000452217,0.000362314,0.000231875,0.000474568,0.000351167,0.00013532,0.000305521,0.000455207,0.000462854,0.000391844,0.000458648,0.000630705,0.000414261,0.00048935,0.000421802,0.000658302,0.000503561,0.000393837,0.000510263,0.000361566,0.000197566,0.000359575,0.00047829,0.00066873,0.000577587,0.000278794,0.000244741,0.000538236,0.000447053,0.000448174,0.000358612,0.00023938,0.000460467,0.00056431,0.000387752,0.00039489,0.000293677,0.0003498,0.000311995,0.00019283,0,0.000499274,0.000242356,0,0.000277457,0.000743333,0.000505207,0.000218693,0.000399495,0.000647313,0.000437499,0.000295671,0.000678825,0.000482669,0.000362449,0.000785431,0.000495209,0.000578931,0.000391145,0.00059171,0.000558638,0.000162364,0.000342498,0.000613441,0.000502654,0.000307848,0.000543002,0.000520309,0.000473068,0.000493382,0.000407575,0.000176235,0.000440198,0.000504301,0.000624201,0.000170802,0.000796773,0.000620452,0.000584547,0.000295695,0.000400184,0.000549435,0.000452561,0.00047728,0.000495375,0.000245305,0.000443232,0.000213116,0.000198864,0.000431842,0.000403296,0.000177295,0.000465361,0.000428883,0.000236427,0.000273424,0.000261662,0.000385007,0.000529633,0.000426155,0.000307159,0.000364447,0.00047797,0.000279557,0.000497467,0.000235351,0.000339603,0.000400286,0.000460751,0.000153835,0.000236353,0.000348547,0.00026163,0.000189998,0.000301132,0.000364589,0.000209072,0.000231776,0.000282604,0.000325063,0.000200888,0.000278725
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.00037522,0.000282954,0.000490407,0.000317163,0.000488374,0.000526947,0.00064528,0.000519779,0.000511301,0.000419954,0.0002015,0.000340461,0.000188963,0.000532556,0.000635671,0.000449335,0.000589481,0.000557686,0.000381267,0.000171348,0.000331971,0.000456632,0.000172748,0.000263172,0.000260619,0.000465137,0.000787372,0.000309035,0.000434742,0.000476775,0.00059432,0.0004655,0.000719577,0.000586043,0.00062976,0.000346406,0.000274683,0.000635902,0.000416958,0.000325166,0.000328107,0.000438109,0.000427919,0.0003768,0.000714156,0.000559784,0.000251652,0.000571319,0.000412807,0.000511349,0.000417697,0.000429349,0.000490408,0.000153318,0.000361225,0.000388744,0.000616713,0.000538499,0.000614727,0.000351565,0.000174749,0.000643766,0.000406676,0.000600796,0.000201124,0.00022959,0.000479552,0.000534277,0.000404159,0.000256724,0.000239669,0.000253964,0.000290048,0.000309202,0.000152001,0.000411498,9.20951e-05,0.000235571,0.000253362,0.000546701,0.000387622,0.000301164,0.000549755,0.00084795,0.000388018,0.000227136,0.000502849,0.000237833,0.000248901,0.000400578,0.00047158,0.000323375,0.000407649,0.000682331,0.00073401,0.000248052,0.000337921,0.000734719,0.000520143,0.000233753,0.00037913,0.000786548,0.000559605,0.000485801,0.00041278,0.00010348,0.000413053,0.000471225,0.000409445,0.000206774,0.000629215,0.000612299,0.000494731,0.000303688,0.00031477,0.000595348,0.000493224,0.000417084,0.000383433,0.000163696,0.00044461,0.000204127,0.000204178,0.000388264,0.000386057,0.000180521,0.000519524,0.000355218,0.000217641,0.000220626,0.000114964,0.000447667,0.000291611,0.000313942,0.000270948,0.000439155,0.000528129,0.000276175,0.000271059,0,0.000489382,0.000247051,0.000429311,0.000219696,0.000291308,0,0.000252536,0.000208984,0.000212224,0.000279048,0.000255088,0.000160021,0.00025357,0.000504492,0.000312224,8.14919e-05
"CARNMET-PWY: L-carnitine degradation I",0,0,0,0,0,0,0,0,2.15122e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66535e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05095e-05,0,0,0,0,0,0,0,0,4.86748e-06,0,0,5.18692e-05,0,9.93903e-06,0,0,0,0,0,0,0,3.94368e-06,0,0,0,0,0,0,2.46046e-05,0,0,7.00869e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51148e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45781e-05,4.04002e-05,0,0,0,0,0,5.36963e-05,0,4.07088e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46766e-05,0,0,0,0,0,0,0,0,0,0,3.47401e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48985e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTFERM-PWY: pyruvate fermentation to butanoate",0,3.05301e-05,4.12662e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32925e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.89965e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03853e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01845e-05,0,0,0,3.98304e-05,0,0,0,0,0,0,0,0,5.60055e-05,0,0,0,0,0,0,0,0,4.07881e-05,0,4.7042e-05,2.8568e-05,0,0,0,0,0,3.53911e-05,0,0,0,0,0,0,0,0,0,8.6649e-05,2.60085e-05,0,0,0,0,0,0,0,0,0,3.97686e-05,0,0,0,0
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CITRULBIO-PWY: L-citrulline biosynthesis",0,6.6589e-05,0,0,0,0,5.98094e-05,0,0.000234315,0,0,9.94028e-05,7.17751e-05,0,0,0,0,0,0,6.75658e-05,0,0,0.000136942,0,5.96747e-05,0,0,0.000167314,0,0.000310051,0,0,0,0,0,0,0.000196136,0,0.000286187,0,4.97479e-05,0,0,0.000165628,5.32342e-05,0,0,0,0,0,0,0,0.000143561,0,8.056e-05,0.000339431,0,0.000141501,0,0,0,0,9.03873e-05,0,0,0.000112164,0,0,0,0,0.000181032,5.9321e-05,0.000206852,0.000150871,9.81598e-05,0.000114185,0.00020357,0,0.000126086,0,0,0.000168291,0,0,0,0.000101598,0,0,0,0,0.000211987,0,0,0,0,0,0,0,0,9.29008e-05,0,0,0,0,8.93397e-05,0,0,0.000205492,5.31442e-05,0,0,0,0,0,0.000103674,0,6.39886e-05,0,0,0,8.99894e-05,0,0,0.000144018,0.000181584,7.90158e-05,0.000204021,0.000215355,0.000130705,7.32514e-05,0.000134164,0,0,0.000283758,0.000145669,0,0,0.000192335,0,7.20733e-05,4.34736e-05,0.000111477,8.89503e-05,4.77027e-05,0.000163758,0.000178449,0,5.46636e-05,0.000207299,0,9.37865e-05,0.000109556,0,0,0.00013732,0.000175574
