"","SRR6915103_500K_merged_Abundance","SRR6915104_500K_merged_Abundance","SRR6915105_500K_merged_Abundance","SRR6915106_500K_merged_Abundance","SRR6915107_500K_merged_Abundance","SRR6915108_500K_merged_Abundance","SRR6915109_500K_merged_Abundance","SRR6915110_500K_merged_Abundance","SRR6915111_500K_merged_Abundance","SRR6915112_500K_merged_Abundance","SRR6915114_500K_merged_Abundance","SRR6915117_500K_merged_Abundance","SRR6915125_500K_merged_Abundance","SRR6915126_500K_merged_Abundance","SRR6915127_500K_merged_Abundance","SRR6915128_500K_merged_Abundance","SRR6915129_500K_merged_Abundance","SRR6915130_500K_merged_Abundance","SRR6915131_500K_merged_Abundance","SRR6915132_500K_merged_Abundance","SRR6915133_500K_merged_Abundance","SRR6915134_500K_merged_Abundance","SRR6915135_500K_merged_Abundance","SRR6915136_500K_merged_Abundance","SRR6915147_500K_merged_Abundance","SRR6915149_500K_merged_Abundance","SRR6915150_500K_merged_Abundance","SRR6915151_500K_merged_Abundance","SRR6915152_500K_merged_Abundance","SRR6915153_500K_merged_Abundance","SRR6915155_500K_merged_Abundance","SRR6915156_500K_merged_Abundance","SRR6915167_500K_merged_Abundance","SRR6915168_500K_merged_Abundance","SRR6915169_500K_merged_Abundance","SRR6915170_500K_merged_Abundance","SRR6915171_500K_merged_Abundance","SRR6915172_500K_merged_Abundance","SRR6915173_500K_merged_Abundance","SRR6915174_500K_merged_Abundance","SRR6915175_500K_merged_Abundance","SRR6915176_500K_merged_Abundance","SRR6915177_500K_merged_Abundance","SRR6915178_500K_merged_Abundance","SRR6915179_500K_merged_Abundance","SRR6915180_500K_merged_Abundance","SRR6915181_500K_merged_Abundance","SRR6915182_500K_merged_Abundance","SRR6915183_500K_merged_Abundance","SRR6915184_500K_merged_Abundance","SRR6915185_500K_merged_Abundance","SRR6915186_500K_merged_Abundance","SRR6915195_500K_merged_Abundance","SRR6915196_500K_merged_Abundance","SRR6915197_500K_merged_Abundance","SRR6915198_500K_merged_Abundance","SRR6915199_500K_merged_Abundance","SRR6915200_500K_merged_Abundance"
"PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",0,0,0,0,0,0,0,0,0,0,0,0,4.31946e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32574e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7391: isoprene biosynthesis II (engineered)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7392: taxadiene biosynthesis (engineered)",0,0.000137475,0,0,0,4.81257e-05,0,0.000122987,0.000219658,0,0.000126274,0.000135682,0,6.72873e-05,0,0,0,0,7.02253e-05,0,0,3.81839e-05,0,0,0,7.93503e-05,6.4689e-05,0,0,0.00010182,8.81416e-05,0,0.000153207,5.94935e-05,0,0.000131365,0.000138615,0,0.000108521,6.19893e-05,0,0,6.73493e-05,0,0,0.000101263,0,0.00010888,0,1.95987e-05,0,0,0,8.46139e-05,0,0,0,0
"PWY-7396: butanol and isobutanol biosynthesis (engineered)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7399: methylphosphonate degradation II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0,0,0,0.000275098,0.000213474,0,0.00030419,0,0.000259647,0.000171508,0.000274375,0,0.000248133,0.000193919,0,0,0.000185837,0.000176585,0.00028965,0.000163095,0,0,0,0,0.000212505,0,0.000332397,0.000193172,0,0,0.000339748,0,0.000239531,0.000160555,0,0,0.000267812,0.000295113,0.00027796,0.000316829,0.000193976,0,0,0.000291827,0.000122152,0.000235928,0,0.00016631,0,0.000200077,0.000265054,0,0,0.000253597,0.000195167,0.000279091,0,0
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",0,0,0,1.36391e-05,0,0,0,0,0,0,0,0,1.96146e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7411: phosphatidate biosynthesis (yeast)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7431: aromatic biogenic amine degradation (bacteria)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)",0,0,0,1.22428e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04914e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7446: sulfoquinovose degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7456: &beta;-(1,4)-mannan degradation",0,0,0,0,3.50984e-05,0.000114747,2.73994e-05,7.36238e-05,0,7.7286e-05,8.29889e-05,8.45119e-05,3.64843e-05,1.32265e-05,0,0,6.01471e-05,7.93719e-05,0.000104576,0,0,0,0,0.000112721,2.84502e-05,0,6.43075e-05,3.31877e-05,0.000139382,3.56152e-05,8.0797e-05,0,0.000141909,2.9048e-05,3.45338e-05,7.75956e-05,8.64305e-05,5.15226e-05,7.80407e-05,4.43685e-05,7.80076e-05,6.3078e-05,0.000109647,0,6.33686e-05,0,6.22057e-05,0,0,6.19288e-05,7.93294e-05,2.18619e-05,7.87047e-05,6.36634e-05,6.44752e-05,0,2.81907e-05,0
"PWY-7511: protein ubiquitination",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7527: L-methionine salvage cycle III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7528: L-methionine salvage cycle I (bacteria and plants)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7560: methylerythritol phosphate pathway II",0.00020097,0.00020382,0.000148794,0.000218169,0,8.5747e-05,0.000277366,0.000198926,0.000261185,0,0.000202811,0.000239802,0.000229058,0.000150615,8.88064e-05,0.000299096,0.00014958,0.000134409,9.91241e-05,0,0.000144282,0.000233732,0,0.000205568,0.000270167,0.000177728,0.000119043,0.000151838,0.000131764,0.000236105,0.000320638,0.000283033,0.000218899,8.25279e-05,0.000153488,0.000225702,0.000181216,0,0.000219475,0.000208762,0.000111823,0.000354607,0.000123542,0.000291007,9.5903e-05,0.000242594,0,0.00019454,0.000257356,9.16426e-05,0.000199521,0.00034454,0,0.000170153,0.000208582,0.000307176,0.00019269,0.000332993
"PWY-7616: methanol oxidation to carbon dioxide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7663: gondoate biosynthesis (anaerobic)",3.99508e-05,0.000158603,0.00010247,0.000297884,0.000117448,0.000202542,0.000182561,0.000242048,0.000355515,7.04164e-05,0.000226722,0.000122657,0.000286816,0.00018355,0.000137891,9.95927e-05,0.00012482,4.75416e-05,0.000190124,5.37721e-05,0.00015213,0.000238308,6.3244e-05,0.000150349,9.69479e-05,0.000135187,0.000175839,0.000118018,0,0.000205672,0.000150427,9.31346e-05,0.000225388,0.000164274,0.00015544,0.000118508,0.000210607,0.000205928,0.00011357,8.44915e-05,0.000290074,0.000172041,0.00010474,0.000187621,0.000121383,0.000273784,0.000195931,0.000190378,0.000102739,0.000290248,0,0.00020401,0.000213863,0.000214886,0.00018299,3.44094e-05,0.000165994,0.000103444
"PWY-7664: oleate biosynthesis IV (anaerobic)",0,8.79004e-05,0,0.000216345,0,0,0.000143498,0,6.21716e-05,0,5.24554e-05,0,0.000229605,3.95198e-05,8.01858e-05,0,0,3.0328e-05,0,4.74239e-05,8.47081e-05,0,0,0,0,0,0,0,0,0,0,0,4.55305e-05,0,0,0,0,7.729e-05,0,8.3676e-05,0,0,4.58451e-05,0,0.000117782,0,0,0,0,6.37927e-05,0,0,0,0,0,0,0,0
"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis",0,0,0,0.000199921,0,0,3.18831e-05,0,0,0,0,0,7.0612e-05,0,0,0,0,0,0,0,0,0,0,0,4.22062e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7723: bacterial bioluminescence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7731: superpathway of photosynthetic hydrogen production",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7754: bile acid 7&alpha;-dehydroxylation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7761: NAD salvage pathway II (PNC IV cycle)",6.91011e-05,0.000105817,4.48973e-05,9.28189e-05,0,0,4.19342e-05,0,0,0,0,3.28965e-05,9.46784e-05,0.000101156,3.80071e-05,9.66625e-05,0,4.34605e-05,0,0.000118358,7.19759e-05,3.34863e-05,9.37413e-05,9.19525e-05,6.23099e-05,5.54209e-05,0,4.00332e-05,0,0,9.1331e-05,0,6.66757e-05,4.06595e-05,0.000121573,0,3.61364e-05,4.08975e-05,0,6.73344e-05,7.24776e-05,9.87559e-05,0,8.01484e-05,5.69391e-05,5.48918e-05,0,0,9.39111e-05,2.43276e-05,0,8.80334e-05,3.46233e-05,0,6.30136e-05,0.00012373,0,0.000134998
"PWY-7783: plasmalogen degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7790: UMP biosynthesis II",0.00044065,0.000394789,0.00031163,0.000221905,0.000356712,0.000432413,0.000420095,0.000385763,0.00039727,0.000372459,0.000410236,0.000430988,0.000274905,0.000259323,0.000355732,0.000505659,0.000414718,0.000302486,0.000380954,0.000386618,0.000240483,0.00039198,0.000372075,0.000390443,0.000349295,0.000317002,0.000447445,0.000292796,0.000432921,0.000387196,0.000394765,0.000390214,0.000404509,0.000154175,0.000451682,0.000533282,0.000426317,0.000389638,0.000350073,0.000420972,0.00032427,0.000443044,0.00043064,0.000450845,0.000342696,0.000384283,0.000449664,0.000271853,0.000345938,0.000365645,0.000404402,0.00032984,0.000420157,0.000547901,0.000409884,0.000283593,0.000339301,0.000451323
"PWY-7791: UMP biosynthesis III",0.00044065,0.000394789,0.00031163,0.000221905,0.000356712,0.000432413,0.000420095,0.000385763,0.00041228,0.000372459,0.000410236,0.000430988,0.000274905,0.000259323,0.000355732,0.000505659,0.000414718,0.000302486,0.000380954,0.000386618,0.000240483,0.00039198,0.000372075,0.000390443,0.000349295,0.000317002,0.000447445,0.000292796,0.000432921,0.000387196,0.000394765,0.000390214,0.000404509,0.000154175,0.000451682,0.000533282,0.000426317,0.000389638,0.000350073,0.000420972,0.00032427,0.000443044,0.00043064,0.000450845,0.000342696,0.000384283,0.000449664,0.000271853,0.000345938,0.000365645,0.000404402,0.00032984,0.000420157,0.000547901,0.000409884,0.000283593,0.000339301,0.000451323
"PWY-7805: (aminomethyl)phosphonate degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7807: glyphosate degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0.000258747,0.000227688,0.00012023,0.000174585,0.000207086,0.00028769,0.000245339,0.000209044,0.000318227,0.000245222,0.000257932,0.00029366,0.000145501,0.000241023,0.00013419,0.000325275,0.00022771,0.000130881,0.000294261,0.000248185,0.000155572,0.000152203,0.000163276,0.000215264,0.000193038,0.000143254,0.000291858,0.000132,0.000292763,0.000271108,0.000316299,0.000271127,0.00023287,0.000179417,0.000291179,0.00035482,0.000346886,0.000218385,0.000256926,0.000189989,0.000266581,0.000201753,0.000203633,0.000286798,0.000231196,0.000217887,0.000277393,0.000140216,0.000276968,0.000263921,0.000263352,0.000216762,0.000201743,0.000319345,0.00014865,0.000241989,0.000249931,0.000171966
"PWY-7853: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7858: (5Z)-dodecenoate biosynthesis II",0,0,0,7.35127e-05,0,0,0,0,0,0,0,0,9.75234e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7873: D-erythronate degradation II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7874: L-threonate degradation",0,0,0,6.79757e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7883: anhydromuropeptides recycling II",0,0,0,8.12874e-05,0,0,0,0,0,0,0,0,1.60047e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7942: 5-oxo-L-proline metabolism",0,0,0,4.49425e-05,0,0,0,0,0,0,0,0,3.60884e-05,0,0,0,0,2.23942e-05,0,0,0,0,0,0,0,0,0,0,0,2.13541e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.000243137,0.000305283,0.000211958,0.000255323,0.000338506,0.000320828,0.000315272,0.000282737,0.000471743,0.000279967,0.000279081,0.000305068,0.000237731,0.000241299,0.000168368,0.000505404,0.00030581,0.000201196,0.000267167,0.00028546,0.000244352,0.000300068,0.000312958,0.000282827,0.000276954,0.000203412,0.000347999,0.000155187,0.000325465,0.000242684,0.00039383,0.00019807,0.000320556,0.000148087,0.000318954,0.000370688,0.000388146,0.000350921,0.000353004,0.00034063,0.000306631,0.000301236,0.000373972,0.000316286,0.000299858,0.000337537,0.000339452,0.000278738,0.000299239,0.000361928,0.000308493,0.00037659,0.000349949,0.000407192,0.000229296,0.000371378,0.000320108,0.00036993
"PWY-7977: L-methionine biosynthesis IV",0.000241423,0.000261009,3.91443e-05,0.000262154,0.000128396,0.000291959,0.000334585,0.000251874,0.000443274,0.00024539,0.000278039,0.000229869,0.000232067,0.000202354,0.000230732,0.000219215,0.000210361,0.000230855,0.000189057,8.43757e-05,0.000153637,0.000238729,9.02445e-05,0.000219305,0.000160215,0.000207396,0.000203471,9.54456e-05,0.000324821,0.000245516,0.000127688,0.000126942,0.000312698,0.000168138,0.000285385,0.000219883,0.00022772,0.000252893,0.000215466,0.000204685,0.000357466,0.000365297,0.000281764,0.000323631,0.000245832,0.00039317,0.000139842,0.000223095,8.07809e-05,0.000289944,0.000256902,0.000419994,0.000159308,0.000245103,0.000247304,0.000254711,0.000216994,0.000309419
"PWY-7992: superpathway of menaquinol-8 biosynthesis III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102271,0,0,0,0,0,0,0,0,0,0
"PWY-8004: Entner-Doudoroff pathway I",0,9.45964e-05,0,0.000149489,0,0,0.000127455,0,0.000187692,6.51559e-05,7.64442e-05,0,9.21062e-05,0,0,0,3.86908e-05,4.23757e-05,8.43623e-05,4.50383e-05,7.54681e-05,0,0,0,2.26782e-05,4.48199e-05,6.84043e-05,0,0,0,8.37069e-05,0,0.00011303,0,9.8976e-05,3.28288e-05,0.000104362,8.29058e-05,5.94281e-05,4.02838e-05,0,0,0,7.5382e-05,9.4826e-05,0.000118064,0,0,0,4.75925e-05,0,0,0,8.79027e-05,3.19708e-05,0,0,0
"PWY-8011: L-serine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-801: homocysteine and cysteine interconversion",0,0,0,2.63965e-05,0,0,0,0,0,0,0,2.4341e-05,1.93641e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42827e-05,0,0,0,0,0,0,0,0,0,0,0,1.99026e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8055: palmitoyl ethanolamide biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8073: lipid IVA biosynthesis (P. putida)",0,5.31291e-05,0,0.000134223,4.51675e-05,0,0,6.19412e-05,0,3.07965e-05,7.10936e-05,0,0.000103839,0.000105176,0,0,4.95644e-05,0,7.01545e-05,5.06948e-05,0,0,0,0,7.81902e-05,0,5.09142e-05,5.83616e-05,0,0,7.10506e-05,0,4.56727e-05,0,0,0,0,0.000105953,0,3.52094e-05,6.82911e-05,0,0,2.73447e-05,5.95378e-05,0.000106442,0,4.73357e-05,0,0,0,0,0,0,0,0,0,0
"PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8112: factor 420 biosynthesis I (archaea)",2.3888e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9e-05,0,0,0,0,0,0,0,0,0,0
"PWY-8113: 3PG-factor 420 biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18091e-05,0,0,0,0,0,0,0,0,0,0
"PWY-8125: mevalonate pathway IV (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8131: 5'-deoxyadenosine degradation II",0,0,0,0,3.61549e-05,0,0,0,0,0,0,0,0,0,0,0,2.299e-05,0,0,0,0,0,0,0,0,0,0,0,4.72941e-05,0,0,0,0,0,2.52547e-05,0,3.35064e-05,0,0,0,0,0,0,0,1.75556e-05,0,0,0,0,0,0,0,0,0,0,2.71864e-05,0,0
"PWY-8134: bile acid 7&beta;-dehydroxylation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8173: anteiso-branched-chain fatty acid biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8174: odd iso-branched-chain fatty acid biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8175: even iso-branched-chain fatty acid biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II",0.000149531,0.000375108,0.000174104,0.000533878,0.000325681,0.000368859,0.000184297,0.000274016,0.000239693,0.000400125,0.000246348,0.000307166,0.000338505,0.000175794,0.000117212,0.000336106,0.000239173,0.000242064,0.000258613,0.000209575,0.000189844,0.00025444,0.000249354,0.000380465,0.000364245,0.000279332,0.000221869,0.000149977,0.000458037,0.000158673,0.0004062,0.000290018,0.000278059,0.000165634,0.000285063,0.000397554,0.000373336,0.000156545,0.00022236,0.000319608,0.000191515,0.000431126,0.00033593,0.000285163,0.000278941,0.00025304,0.000329417,0.000163118,0.000301551,0.000250534,0.000408053,0.000366884,0.000275611,0.000414889,0.000253801,0.000343852,0.00013056,0.00032062
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",9.21098e-05,9.45419e-05,0,0.000207432,0.000109953,0,0.000117207,4.72876e-05,0.000213613,8.56772e-05,9.18614e-05,9.29848e-05,0.000118373,0,0.000169171,2.88627e-05,0.000107293,5.90662e-05,4.25611e-05,0.000172448,4.08054e-05,3.75936e-05,4.94608e-05,4.61977e-05,8.33444e-05,0,3.72563e-05,0,7.69005e-05,0,6.52215e-05,0.00015003,6.33989e-05,8.79911e-05,7.22307e-05,8.40923e-05,0.000117643,6.26962e-05,6.32846e-05,5.96145e-05,2.54146e-05,5.02204e-05,0,0.000103113,4.04294e-05,0.000140418,0,7.38145e-05,0,0,0,0.000154235,5.45787e-05,6.23239e-05,0.00014957,0.00012341,7.80455e-05,0
"PWY-8188: L-alanine degradation VI (reductive Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8189: L-alanine degradation V (oxidative Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",0,0,0,9.96887e-05,0,0,0,0,0,0,0,0,5.32402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123895,6.53434e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-822: fructan biosynthesis",0,0,0,1.20243e-05,0,0,0,0,0,0,0,0,0,4.72202e-05,0,0,0,0,0,0,0,4.68832e-05,0,4.61422e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12914e-05,0,0,0,0,7.16897e-05,0,0,0,0,0,0,3.67329e-05,0,0
