"","SRR6915091_500K_merged_Abundance","SRR6915092_500K_merged_Abundance","SRR6915093_500K_merged_Abundance","SRR6915094_500K_merged_Abundance","SRR6915095_500K_merged_Abundance","SRR6915096_500K_merged_Abundance","SRR6915097_500K_merged_Abundance","SRR6915098_500K_merged_Abundance","SRR6915099_500K_merged_Abundance","SRR6915100_500K_merged_Abundance","SRR6915101_500K_merged_Abundance","SRR6915102_500K_merged_Abundance","SRR6915113_500K_merged_Abundance","SRR6915115_500K_merged_Abundance","SRR6915116_500K_merged_Abundance","SRR6915118_500K_merged_Abundance","SRR6915119_500K_merged_Abundance","SRR6915120_500K_merged_Abundance","SRR6915121_500K_merged_Abundance","SRR6915122_500K_merged_Abundance","SRR6915123_500K_merged_Abundance","SRR6915124_500K_merged_Abundance","SRR6915137_500K_merged_Abundance","SRR6915138_500K_merged_Abundance","SRR6915139_500K_merged_Abundance","SRR6915140_500K_merged_Abundance","SRR6915141_500K_merged_Abundance","SRR6915142_500K_merged_Abundance","SRR6915143_500K_merged_Abundance","SRR6915144_500K_merged_Abundance","SRR6915145_500K_merged_Abundance","SRR6915146_500K_merged_Abundance","SRR6915157_500K_merged_Abundance","SRR6915158_500K_merged_Abundance","SRR6915159_500K_merged_Abundance","SRR6915160_500K_merged_Abundance","SRR6915161_500K_merged_Abundance","SRR6915162_500K_merged_Abundance","SRR6915163_500K_merged_Abundance","SRR6915164_500K_merged_Abundance","SRR6915165_500K_merged_Abundance","SRR6915166_500K_merged_Abundance","SRR6915188_500K_merged_Abundance","SRR6915189_500K_merged_Abundance","SRR6915190_500K_merged_Abundance","SRR6915191_500K_merged_Abundance","SRR6915192_500K_merged_Abundance","SRR6915193_500K_merged_Abundance","SRR6915194_500K_merged_Abundance","SRR6915201_500K_merged_Abundance","SRR6915202_500K_merged_Abundance","SRR6915203_500K_merged_Abundance","SRR6915204_500K_merged_Abundance","SRR6915205_500K_merged_Abundance","SRR6915206_500K_merged_Abundance","SRR6915207_500K_merged_Abundance","SRR6915208_500K_merged_Abundance","SRR6915209_500K_merged_Abundance","SRR6915210_500K_merged_Abundance","SRR6915211_500K_merged_Abundance","SRR6915212_500K_merged_Abundance","SRR6915213_500K_merged_Abundance","SRR6915214_500K_merged_Abundance","SRR6915215_500K_merged_Abundance","SRR6915216_500K_merged_Abundance","SRR6915217_500K_merged_Abundance","SRR6915218_500K_merged_Abundance","SRR6915219_500K_merged_Abundance","SRR6915220_500K_merged_Abundance","SRR6915221_500K_merged_Abundance","SRR6915222_500K_merged_Abundance","SRR6915223_500K_merged_Abundance","SRR6915224_500K_merged_Abundance","SRR6915225_500K_merged_Abundance","SRR6915226_500K_merged_Abundance","SRR6915227_500K_merged_Abundance","SRR6915228_500K_merged_Abundance","SRR6915229_500K_merged_Abundance","SRR6915230_500K_merged_Abundance"
"PWY-7805: (aminomethyl)phosphonate degradation",0,0,0,1.14124e-05,7.07692e-05,0,0,0,0,0,0,5.88718e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81346e-05,0,0,0,0,0,8.86848e-06,0,0,4.13057e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18703e-06,0,6.75751e-06,0,0,0,1.54343e-05,0,0,0,0,0
"PWY-7807: glyphosate degradation III",0,0,0,1.08985e-05,6.92777e-05,0,0,0,0,0,0,6.02034e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63617e-05,0,0,0,0,0,8.0821e-06,0,0,4.45637e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24855e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67264e-06,0,6.57447e-06,0,0,0,1.46624e-05,0,0,0,0,0
"PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0.000208784,6.43354e-05,0.000335599,0.000192918,0.000185196,0.000240377,0.0003551,0.000318057,0.000190759,0.000256485,0.000357766,0.000191961,0.00026335,0.000368526,0.000129593,0.000219348,0.000459462,0.00017205,0.000342344,0.000380167,0.000171899,0.000222903,0.000231397,0.000399738,0.000286371,0.000456731,0.000249119,0.000222598,0.000293458,0.000314011,0.000122295,0.000278552,0.00013588,0.000103071,0.000204349,0.000165685,0.000418618,0.000435253,0.00022105,0.000269464,0.000214141,0.000200853,0.000215073,0.000316581,0.000334716,2.8611e-05,0.000267057,0.000347116,0.000161426,0.000464359,0.000200673,0.000130611,0.000273212,0.000246018,0.000271598,0.000334062,0.00031436,0.000142618,0.000260987,0.000107045,0.00027659,0.000199649,0.000306435,8.01677e-05,0.000284419,0.000555245,0.000206989,0.000194524,0.000350649,0.000248216,0.000220487,0.000216657,0.000279789,0.000212535,0.000337428,0.000216588,0.000173336,0.000175775,0.000484982
"PWY-7853: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7858: (5Z)-dodecenoate biosynthesis II",2.38402e-05,0,0,6.85887e-05,0.000218722,0.000269973,0,0.000303825,0,0,0,1.15417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39542e-05,0,0,0,0,0,9.99306e-05,0,0,3.82888e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.13737e-05,7.12695e-05,0,8.27499e-05,0,0,0,0,0,7.53159e-05,0,0,0,1.88132e-05,0,0,0,0,0,0.000317424,0,3.89603e-05,3.01536e-05,0,0,0.000123019,0,0,0,0,0
"PWY-7873: D-erythronate degradation II",0,0,0,5.81632e-06,4.6094e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05893e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12843e-05,0,0,0,0,0,0,0,0,0,0,0
"PWY-7874: L-threonate degradation",0,0,0,5.81632e-06,5.30137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1544e-05,0,0,0,0,9.89759e-06,1.05893e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98442e-05,0,8.18645e-06,0,0,0,6.31326e-06,0,0,0,0,0
"PWY-7883: anhydromuropeptides recycling II",7.45953e-05,0,0,8.15348e-05,7.04753e-05,0.000308441,0,0.000316664,4.32302e-05,0,0,1.88634e-05,0,0,0,0,0,0,0,7.35514e-05,0,0,0,0,0,7.90603e-05,0.000122958,0,0,0,0,5.3234e-05,7.27241e-05,0,0,2.06586e-05,0,0,0,0,0,0,0,0,6.32674e-05,4.66748e-05,0,0,7.24042e-05,4.89467e-05,0,3.88703e-05,0,0,0,0,0,0,0,0,0,3.16438e-05,3.77024e-05,1.99181e-05,5.20224e-05,0,0,0.000106229,8.15705e-05,1.18045e-05,0,0,0,0.000115494,0,0,0,3.88511e-05,0
"PWY-7942: 5-oxo-L-proline metabolism",5.50745e-05,0,0,3.81069e-05,4.41837e-05,0.000233511,0,0.000257474,1.55468e-05,0,0,2.56642e-05,0,0,0,0,0,0,0,0,4.08871e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69879e-05,3.42491e-05,3.47321e-05,0,4.54415e-05,0,0,0,0,0,3.03955e-05,0,0,0,3.21029e-05,0,0,0,0,0,7.51183e-05,0,7.48335e-05,3.06171e-05,0,0,7.03984e-05,0,0,0,0,0
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.000307001,0.000221833,0.00045028,0.00028903,0.000322263,0.000308513,0.000337547,0.000323494,0.00026968,0.000328085,0.00042183,0.0003451,0.000292029,0.000343575,0.000254499,0.000404779,0.00054494,0.000315838,0.000325339,0.000439235,0.000316073,0.000260787,0.00030611,0.000569511,0.000408059,0.000464676,0.000316395,0.000304723,0.000278726,0.000311574,0.0004391,0.000353479,0.000277099,0.000233528,0.000241856,0.000223789,0.000595616,0.000498089,0.000475406,0.000302868,0.000656639,0.000365954,0.000355223,0.000447496,0.000316349,0.000403789,0.000331909,0.000367993,0.000410263,0.00046442,0.000364127,0.000208039,0.000264463,0.00037074,0.00029819,0.000419179,0.000593532,0.000175078,0.000292982,0.000182827,0.000378066,0.000314344,0.0003184,0.000676804,0.00028908,0.000646342,0.000251949,0.000322586,0.000347439,0.000312731,0.000338584,0.000276676,0.000380997,0.000316437,0.00039445,0.000304269,0.000377381,0.000324835,0.000516295
"PWY-7977: L-methionine biosynthesis IV",0.000391887,0.00019032,0.000417426,0.000389906,0.000495436,0.000508052,0.000261776,0.000553799,0.000282567,0.000319429,0.000344779,0.000341033,0.000240992,0.000203114,0.000236471,0.000524137,0.000514045,0.000377287,9.50997e-05,0.000398386,0.000178907,0.000218304,0.000308248,0.000206186,0.000300992,0.000400606,0.00040287,0.000404884,0.000358048,0.000283746,0.000453085,0.00034158,0.000252807,0.000274739,0.000136525,0.000286464,0.000752382,0.000217114,0.000324105,0.000285007,0.000671694,0.000252387,0.000292791,0.000246595,0.000303704,0.000529912,0.000263709,0.000261572,0.000349344,0.000109394,0.000272505,0.000256896,0.00025269,0.000280755,0.000148276,0.000273484,0.000489574,0.00013449,0.000227191,9.50849e-05,0.000260387,0.000255061,0.000230507,0.000316567,0.000349461,0.000391441,0.000215081,0.000392662,0.000269803,0.000192151,0.000302407,0.000274791,0.000407847,0.00038575,0.000335763,0.000140222,0.000286206,0.000328379,0.000488043
"PWY-7992: superpathway of menaquinol-8 biosynthesis III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149523,0.00011001,0,0.000102502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8004: Entner-Doudoroff pathway I",7.74156e-05,0,0,0.000331146,0.000334936,0.000292673,6.20513e-05,0.000265201,5.93611e-05,7.4524e-05,0,0.000141419,2.3122e-05,5.7104e-05,0,0,0,5.58192e-05,0,6.97903e-05,6.48806e-05,5.46705e-05,4.96555e-05,8.14042e-05,5.21077e-05,0,0.000164663,4.6253e-05,0.000126867,0,3.9692e-05,0.00015328,0.000177436,8.33536e-05,7.18409e-05,0.000143401,0,0,0,4.89027e-05,0,5.07118e-05,7.0387e-05,0.000131331,0,0,0.000141305,4.93283e-05,0.000132272,0.000132926,0,8.43937e-05,6.101e-05,0.000100048,6.9501e-05,0,0.000107844,7.71325e-05,0,5.18786e-05,0,7.93543e-05,5.82217e-05,3.1175e-05,0,0,0.000100409,0.000332177,5.60661e-05,0.000133816,3.91967e-05,0,4.79321e-05,0.000123055,0,0,0,1.51117e-05,0
"PWY-8011: L-serine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-801: homocysteine and cysteine interconversion",1.33276e-05,0,0,0,0.00012978,0,0,0,1.61263e-05,0,0,1.30606e-05,0,0,0,0,0,0,0,0,0,0,8.61516e-06,0,0,0,0,0,0,0,0,3.03044e-05,3.74708e-05,0,0,2.64223e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79102e-05,0,0,0,0,0,0,0,0,0,0,0,2.47965e-05,0,0,0,0,0,7.89147e-05,0,4.46648e-05,0,0,0,0,0,0,0,0,0
"PWY-8055: palmitoyl ethanolamide biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8073: lipid IVA biosynthesis (P. putida)",0.000221641,0,8.08928e-05,0.000279141,0.000297279,0.0002842,0.000123819,0.000281127,0.000119992,0,0.00015604,0.000180936,5.89336e-05,0,4.75587e-05,0,0,0.000109676,5.49032e-05,0.00017397,4.85325e-05,0.000113701,7.57177e-05,0.000145781,0.000201151,0.000285799,0.000254549,5.11459e-05,0.000107421,0,4.25343e-05,0.000194021,0.000200513,0.000138003,3.81845e-05,0.000152184,0,4.83281e-05,0.000136006,0.000114793,0,0.000121188,8.98034e-05,5.31141e-05,0.000219719,0.000121082,0,5.64825e-05,0.00013249,0.000148301,0.000221625,0.000117692,0.000100824,6.58617e-05,0,0.000105395,0.00037673,7.3524e-05,8.35305e-05,6.38409e-05,0,6.4198e-05,0.000115102,0.000194486,9.21907e-05,0,5.67762e-05,0.000217865,0.000150312,9.50958e-05,0.000116487,0,8.1693e-05,0.00015807,0.000278932,4.27658e-05,0,8.17542e-05,0
"PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen",0,0,0,1.0553e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8112: factor 420 biosynthesis I (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8113: 3PG-factor 420 biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8125: mevalonate pathway IV (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8131: 5'-deoxyadenosine degradation II",4.86305e-05,0,0,8.09737e-05,5.24412e-05,0.000215796,0,0.000237717,0,0,0,0,6.78611e-05,0,0,2.81218e-05,0,0,0,0,0,0,3.95375e-05,0,0,0,2.12613e-05,0,0,0,0,5.00168e-05,0,0,0,0,0,0,0,0,0,0,4.39099e-05,0,0,0,0,0,4.0482e-05,0,2.37083e-05,3.71282e-05,0,0,0,0,3.41551e-05,2.52089e-05,0,2.77314e-05,0,0,0,0,0,0,0,0.000112988,0,1.95865e-05,0,5.08808e-05,0,7.39179e-05,0,0,0,2.8611e-05,0
"PWY-8134: bile acid 7&beta;-dehydroxylation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8173: anteiso-branched-chain fatty acid biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8174: odd iso-branched-chain fatty acid biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8175: even iso-branched-chain fatty acid biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II",0.000355655,0.000100823,0.000109675,0.000406473,0.000531272,0.000656325,9.92144e-05,0.000675489,0.000171143,0.000260387,0.000114587,0.000316411,0.000261783,0.000123972,0.00021411,0.000245405,4.23802e-05,0.00017081,0.000132838,0,0.000198224,0.000197116,0.000133479,0.000284029,0,0,0.00049962,0.000266461,0.000113992,0,0.00032766,0.000353648,0.000322057,8.75724e-05,0.000103501,0.000325421,0.000224793,0,0.000194825,0.000292331,0.000414696,7.18879e-05,0.000139493,0.000247367,0,0.000372582,0.000290368,0.000233553,0.000210323,0.000421557,0,0.000240641,0.000142568,4.15492e-05,0.000150724,0.00017673,0.000137879,0.000264211,0.00011136,5.391e-05,0,0.000306467,0.000108757,0.000251968,0.000229765,0.000230252,0.000122996,0.000454089,3.20028e-05,0.000240645,0.000174487,0.000125001,0.000192524,0.000387836,0.000191442,0.000151972,0.000290539,0.000174194,0.000390823
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000185678,0,7.51383e-05,0.000222967,0.000221738,9.23664e-05,6.90057e-05,0,4.85939e-05,0.000157875,9.37608e-05,0.000115893,0.000146555,9.8479e-05,4.70343e-05,0,5.37198e-05,9.29119e-05,2.84311e-05,0.000132796,0.000115712,7.79074e-05,9.11948e-05,5.84316e-05,4.35577e-05,0.000144892,0.000296383,9.36644e-05,0,5.76176e-05,0,0.000230364,0.000241916,0.000118752,7.77165e-05,0.000130332,0,0,0.000149265,3.55962e-05,0,6.36982e-05,4.40972e-05,0.000102747,4.57856e-05,0,0.000152407,0.000101234,7.23314e-05,9.53664e-05,0.000109658,5.08483e-05,5.17225e-05,6.33083e-05,3.08082e-05,3.77348e-05,0,4.10446e-05,3.06812e-05,4.54531e-05,0.000104979,0.000225121,0.000145239,0.000274554,7.57457e-05,0.000229323,3.30602e-05,9.24986e-05,0.000111865,0.000238553,9.35751e-05,5.35652e-05,6.03359e-05,0.000222555,4.82227e-05,4.67355e-05,3.1767e-05,0.000162288,0.000928962
"PWY-8188: L-alanine degradation VI (reductive Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8189: L-alanine degradation V (oxidative Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33852e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39843e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",0.000104684,0,0,0.00019648,8.16059e-05,0.000202871,0,0,7.12404e-05,0,0,8.07343e-05,0,0,0,0,0,0,0,0,0,0,4.40351e-05,0,0,0,0,0,0,0,0,0.000105689,6.83496e-05,0,5.43832e-05,0.000154518,0,0,0,0,0,0,0,0,0,0,0,0,4.9134e-05,5.44205e-05,0,6.15929e-05,0,0,0,0,0,5.21715e-05,0,0,0,6.60535e-05,0,6.87177e-05,0,0,0,0.000155357,0,0.000100375,0,0,0,0.000179789,0,0,0,0,0
"PWY-822: fructan biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0.000256809,0.000184827,0.000132714,0.000330016,0.000279178,0.000300188,0.000234466,0.000312493,0.000103642,0.000196055,0.000231647,0.000229437,0.000194595,0.000258155,0.0002185,0.000145392,0.0001078,0.000239234,0.000288536,0.000342152,0.000113241,0.000237113,0.000224283,0.0003407,0,0.000329586,0.000322527,0.000204121,0.000330018,0.000113461,0.000121888,0.000281162,0.000217998,0.00023212,0.000234452,0.000227412,0,0.000324096,0.000234183,0.000124821,0,0.000180578,0.000258025,0.000198015,0.000185325,0,0.000215386,0.000204528,0.000225599,0.000210817,0.000147439,0.000147937,0.000121548,0.000275111,0.000230911,0.000237745,0.000220601,0.000155172,0.000263151,0.000123972,9.42876e-05,0.000247213,0.000137747,0.0002976,0.000212685,0,0.000188043,0.000312331,0.000133487,0.000193531,0.000214469,0.000166801,0.000263408,9.83168e-05,0.000157707,0.000274178,0.000132539,0.000309755,0.000489961
"PWY-922: mevalonate pathway I (eukaryotes and bacteria)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-I9: L-cysteine biosynthesis VI (from L-methionine)",0.000119951,0,0,0.000134056,0.000222762,0.00034613,0,0.000351192,8.44914e-05,0,0,9.06415e-05,0.000141399,0,0,5.47497e-05,0,0,0,0,8.75885e-05,4.73166e-05,4.83774e-05,0,0,0,0.000222651,8.43264e-05,0,0,0.000123631,0.000136633,0.000147466,3.50925e-05,0,0.0002053,0,0,5.22777e-05,0,0,0,6.47477e-05,0,0,0,8.38951e-05,0,5.12166e-05,0.000141889,0,9.8444e-05,0.000150205,0,0,0,0,0.000128558,0,0,0,0.000159166,0,0.000181516,0,0.000106623,0,0.00025075,0,0.000274052,0,3.44119e-05,0,0.000155007,0.000116063,0,0,4.49709e-05,5.74639e-05
"PWY0-1061: superpathway of L-alanine biosynthesis",3.82879e-05,0,0,0.0001054,0.000245246,0.000409242,0,0.000493997,0,0,0,5.11851e-05,0,0,0,0,0,0,6.52403e-05,0,8.56266e-05,1.43264e-05,9.96525e-06,0,0,0,0.000117325,0,0,0,2.88929e-05,7.88176e-05,9.44577e-05,0,0,4.72879e-05,0,0,0,0,0,0,0,7.24118e-05,5.90541e-05,0,0,0,0,3.97391e-05,0,6.69353e-05,0,0,9.46674e-05,0,0,6.52369e-05,0,0,0,4.90255e-05,0,0,0,5.78177e-05,7.25316e-05,0.000305263,3.51593e-05,0.000151833,0,5.75037e-05,0,0.000222114,0,0,0,0,0
"PWY0-1221: putrescine degradation II",0,0,0,7.65083e-06,4.76924e-05,3.72179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52792e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53266e-06,0,0,0,0,0,2.73106e-05,0,5.9775e-06,0,0,0,0,0,0,0,0,0
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",5.33613e-05,9.21372e-05,0,4.52191e-05,8.20323e-05,0.000259299,5.13548e-05,0.000332544,0,0,0,3.46677e-05,1.41614e-05,5.20448e-05,0,2.98647e-05,0,0,0,3.21272e-05,3.78746e-05,0,7.00125e-05,0.000120542,2.87637e-05,2.70574e-05,8.69262e-05,0,2.9717e-05,0,0,1.90453e-05,4.7462e-05,4.94669e-06,0,5.27747e-05,0,1.76777e-05,0,0,0,4.56081e-05,0,2.09513e-05,0,2.68001e-05,0,0,4.26299e-05,0,0,4.00248e-05,0,0,4.66473e-05,5.47542e-05,0,3.45918e-05,0,3.24659e-05,0,1.1335e-05,0,0.000235435,0,5.53126e-05,0,0.000120256,0,5.08654e-05,7.81895e-05,1.53795e-05,0,0.000100078,0,0,0,0,0
"PWY0-1261: anhydromuropeptides recycling I",7.45953e-05,0,0,9.72563e-05,0.000213635,0.000364313,9.38658e-05,0.000447853,4.32302e-05,0,0,7.02101e-05,0,0,4.86302e-05,0,0,0,0,0.000136296,0,0,4.70576e-05,0.000178361,9.55084e-05,9.09029e-05,0.000153748,0,3.89402e-05,0,0,9.14253e-05,0.0001134,0,0,9.8823e-05,0,0,7.42079e-05,6.03327e-05,0,0,0,0,6.32674e-05,4.84031e-05,0,0,7.69808e-05,5.7319e-05,4.8872e-05,6.45485e-05,0,0.000128568,5.63398e-05,7.04578e-05,0,0,8.36769e-05,4.73701e-05,0,6.82748e-05,5.00788e-05,1.99181e-05,5.62042e-05,0,0,0.000228135,9.20168e-05,6.36958e-05,0,0,8.54411e-05,0.0001882,4.86002e-05,0,0,6.68983e-05,0
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation",2.95674e-05,0,0,7.05556e-05,0.000266177,3.13572e-05,0,0,0,0,0,4.32179e-05,0,0,0,0,0,0,0,0,0,0,1.71896e-05,0,0,0,0.000128847,0,0,0,0,0,0,0,0,7.28349e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75392e-05,0,0,0,0,0,0,0,0,0,0,0,3.90309e-05,0,0,0,0,0,0.000123699,0,5.16901e-05,0,0,0,0.000116263,0,0,0,0,0
