"","SRR6915091_merged_Abundance","SRR6915092_merged_Abundance","SRR6915093_merged_Abundance","SRR6915094_merged_Abundance","SRR6915095_merged_Abundance","SRR6915096_merged_Abundance","SRR6915097_merged_Abundance","SRR6915098_merged_Abundance","SRR6915099_merged_Abundance","SRR6915100_merged_Abundance","SRR6915101_merged_Abundance","SRR6915102_merged_Abundance","SRR6915113_merged_Abundance","SRR6915115_merged_Abundance","SRR6915116_merged_Abundance","SRR6915118_merged_Abundance","SRR6915119_merged_Abundance","SRR6915120_merged_Abundance","SRR6915121_merged_Abundance","SRR6915122_merged_Abundance","SRR6915123_merged_Abundance","SRR6915124_merged_Abundance","SRR6915137_merged_Abundance","SRR6915138_merged_Abundance","SRR6915139_merged_Abundance","SRR6915140_merged_Abundance","SRR6915141_merged_Abundance","SRR6915142_merged_Abundance","SRR6915143_merged_Abundance","SRR6915144_merged_Abundance","SRR6915145_merged_Abundance","SRR6915146_merged_Abundance","SRR6915157_merged_Abundance","SRR6915158_merged_Abundance","SRR6915159_merged_Abundance","SRR6915160_merged_Abundance","SRR6915161_merged_Abundance","SRR6915162_merged_Abundance","SRR6915163_merged_Abundance","SRR6915164_merged_Abundance","SRR6915165_merged_Abundance","SRR6915166_merged_Abundance","SRR6915188_merged_Abundance","SRR6915189_merged_Abundance","SRR6915190_merged_Abundance","SRR6915191_merged_Abundance","SRR6915192_merged_Abundance","SRR6915193_merged_Abundance","SRR6915194_merged_Abundance","SRR6915201_merged_Abundance","SRR6915202_merged_Abundance","SRR6915203_merged_Abundance","SRR6915204_merged_Abundance","SRR6915205_merged_Abundance","SRR6915206_merged_Abundance","SRR6915207_merged_Abundance","SRR6915208_merged_Abundance","SRR6915209_merged_Abundance","SRR6915210_merged_Abundance","SRR6915211_merged_Abundance","SRR6915212_merged_Abundance","SRR6915213_merged_Abundance","SRR6915214_merged_Abundance","SRR6915215_merged_Abundance","SRR6915216_merged_Abundance","SRR6915217_merged_Abundance","SRR6915218_merged_Abundance","SRR6915219_merged_Abundance","SRR6915220_merged_Abundance","SRR6915221_merged_Abundance","SRR6915222_merged_Abundance","SRR6915223_merged_Abundance","SRR6915224_merged_Abundance","SRR6915225_merged_Abundance","SRR6915226_merged_Abundance","SRR6915227_merged_Abundance","SRR6915228_merged_Abundance","SRR6915229_merged_Abundance","SRR6915230_merged_Abundance"
"PWY0-1337: oleate &beta;-oxidation",2.1976e-05,0,7.35224e-06,7.62922e-05,0.000100609,0.000402198,0,0.000484788,1.77343e-05,0,1.78142e-06,4.74105e-05,5.94024e-06,2.82583e-06,0,0,0,0,3.79121e-06,0,1.41398e-05,1.86049e-05,1.33403e-05,0,1.3668e-06,0,0.000128188,0,0,0,8.05612e-06,6.05862e-05,7.02489e-05,8.04812e-06,6.65993e-06,3.43982e-05,0,6.03732e-06,1.12614e-05,2.95317e-06,0,0,9.70631e-06,0,7.79274e-07,4.47231e-06,0,4.04319e-06,5.01123e-06,3.88421e-05,0,5.70986e-05,5.87577e-06,0,0,0,5.31376e-06,4.48003e-05,0,0,0,3.03495e-05,1.34296e-06,1.53556e-05,0,1.12637e-06,7.32022e-06,7.58746e-05,3.23976e-06,2.66797e-05,4.84448e-06,6.75388e-06,0,0.0001672,1.81062e-06,0,2.77062e-06,3.18457e-06,7.97414e-06
"PWY0-1338: polymyxin resistance",3.3768e-05,0,4.78708e-06,6.89331e-05,0.00014221,0.000307176,0,0.000395125,1.69257e-05,0,1.59363e-06,3.34655e-05,8.237e-06,8.97867e-06,0,0,0,0,2.71792e-06,0,2.01942e-05,1.4372e-05,2.39015e-05,0,1.10795e-06,0,7.53761e-05,0,0,0,1.28019e-05,4.96249e-05,5.88495e-05,9.55973e-06,7.50091e-06,6.7286e-05,0,5.79251e-06,1.06867e-05,5.21297e-06,0,7.1082e-07,9.60229e-06,0,7.73543e-07,2.50671e-06,0,2.52827e-06,8.87138e-06,5.0619e-05,0,4.21574e-05,1.12048e-05,0,0,1.60491e-07,5.78331e-06,3.42588e-05,0,1.01118e-06,0,2.42468e-05,1.45088e-06,1.84522e-05,0,4.07906e-06,3.32487e-06,0.00019509,4.82127e-06,2.88666e-05,9.34904e-06,8.60529e-06,0,9.96243e-05,1.80055e-06,1.5295e-06,0,4.4208e-06,7.19138e-06
"PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III",6.60052e-05,2.83288e-06,8.86852e-06,0.000110713,0.000275605,0.000300552,0,0.000387916,2.15224e-05,0,0,5.01627e-05,5.65995e-06,3.58625e-06,0,0,0,0,2.47445e-06,2.99433e-07,5.25636e-06,1.76176e-05,3.87803e-05,0,4.07208e-06,0,0.000108689,0,0,0,2.3108e-05,8.05869e-05,0.000116825,1.50683e-05,2.65804e-05,0.000117378,0,6.3334e-06,2.46723e-05,5.46243e-06,0,2.47351e-06,2.11154e-05,3.25408e-06,0,5.21879e-06,1.46212e-06,1.62033e-05,2.05215e-05,5.19201e-05,0,5.43803e-05,2.0825e-05,0,0,4.39977e-07,7.82841e-06,4.38588e-05,1.69865e-06,1.62554e-06,0,6.54988e-05,3.03662e-06,3.61385e-05,0,0,1.44292e-05,0.000243327,4.99191e-06,6.69688e-05,2.09372e-05,0,0,0.000132576,1.46735e-06,3.89477e-06,0,8.42516e-06,1.07882e-05
"PWY0-1477: ethanolamine utilization",0.000284219,4.4042e-05,4.48533e-05,0.000302756,0.000840721,0.000492202,4.01096e-06,0.000412447,0.000177874,3.67058e-05,1.3921e-05,0.000168858,0.000225464,9.63133e-05,4.02305e-05,4.4958e-05,6.15478e-05,4.91299e-05,6.7148e-05,9.01761e-05,7.32102e-05,7.00044e-05,0.000115067,3.60785e-05,9.47783e-05,3.46195e-05,0.000373789,4.37648e-05,4.04394e-05,3.61966e-05,7.31217e-05,0.000249765,0.000313914,5.34138e-05,7.45701e-05,0.000226515,0,1.59151e-05,0.000105251,3.97588e-05,1.92663e-05,4.46751e-05,0.000143711,2.98614e-05,5.12591e-05,8.10319e-05,2.38801e-05,2.73487e-05,0.000163381,0.000322573,4.62148e-05,0.000204501,0.000119088,7.53333e-05,3.20794e-05,8.26891e-05,0.000142309,0.000184174,6.08489e-05,6.19937e-05,5.57418e-05,0.000123044,2.58027e-05,0.000149861,3.98959e-05,8.41233e-05,0.000111112,0.000695143,9.1399e-05,0.000309603,0.000115257,0.000128338,1.74558e-05,0.00045618,0.000202103,3.84107e-05,1.81204e-05,0.000141336,0.000186315
"PWY0-1479: tRNA processing",0.000162146,3.8675e-06,4.87231e-05,0.000174094,0.00023539,0.000371939,3.65428e-05,0.000344697,9.91215e-05,3.81041e-05,4.59196e-05,0.000118852,2.48044e-05,6.89683e-06,4.9032e-05,5.00574e-05,2.7129e-05,2.92458e-05,5.8135e-05,6.86165e-05,0.000128762,4.96016e-05,5.701e-05,0,4.73118e-05,9.59837e-05,0.000226111,2.74075e-05,6.07161e-05,4.02223e-05,5.88245e-05,0.000148552,0.000161494,5.44752e-05,6.8517e-05,0.000172131,6.13115e-06,7.80073e-05,9.10698e-05,4.28033e-05,6.12622e-06,3.29501e-05,9.82177e-05,0.000117538,3.05706e-05,6.95576e-05,8.8832e-05,0.000111171,8.00978e-05,0.000137103,6.13039e-07,0.00010969,8.44179e-05,2.92165e-05,0.000106542,0.000100605,4.48931e-05,0.000105512,8.82714e-05,2.4467e-05,0,0.00014694,6.99218e-05,0.000156762,4.1551e-05,3.49511e-05,6.99048e-05,0.000335508,7.14895e-05,0.000225264,9.85127e-05,3.96293e-05,3.16664e-05,0.000194948,4.0739e-05,4.74569e-05,2.03111e-05,6.84997e-05,6.95452e-05
"PWY0-1533: methylphosphonate degradation I",5.10249e-06,0,1.54763e-06,2.51542e-05,4.86994e-05,1.47265e-05,0,5.76124e-08,8.06226e-06,0,0,1.56061e-05,6.31563e-06,6.12232e-06,0,0,0,1.47288e-06,2.66943e-06,0,3.10549e-06,1.19156e-05,1.41964e-05,0,3.17061e-06,0,5.89966e-05,0,0,0,2.86949e-06,1.4265e-05,2.14671e-05,0,4.41924e-06,4.9961e-05,0,1.26989e-06,4.74898e-06,1.39105e-06,0,0,5.57177e-06,0,0,0,0,3.79918e-07,0,4.09801e-05,0,0,1.6065e-06,0,0,0,9.66827e-07,1.09269e-06,0,0,0,8.40518e-06,1.04291e-06,8.43561e-06,0,6.1132e-07,4.44909e-06,5.34789e-05,2.3133e-06,4.25788e-06,2.40543e-06,0,0,2.22235e-05,3.03573e-07,0,1.30741e-06,4.50433e-07,4.37685e-06
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.000526567,6.45126e-05,0.000255515,0.000666752,0.00150493,0.00103493,0.000277701,0.00102872,0.000427731,0.00035713,0.000325972,0.000446759,0.000276253,0.000235299,0.000335843,0.000497493,0.000204191,0.000383359,0.000220019,0.000505032,0.000283216,0.00029514,0.000263392,0.000247061,0.00028196,0.000389313,0.000799875,0.000405762,0.000370886,0.000213085,0.000520015,0.000553959,0.000624861,0.000316815,0.000289417,0.000649376,0.000153305,0.000317606,0.000568561,0.000335139,0.000518123,0.000271585,0.000381269,0.000314182,0.000328761,0.000540976,0.000340889,0.000323916,0.00046542,0.00058046,0.000363036,0.000362411,0.000379656,0.000278475,0.000344371,0.000301517,0.000601172,0.000348777,0.000242682,0.000208228,0.000259218,0.000539452,0.000257677,0.000282806,0.000316129,0.000139352,0.00032616,0.0011444,0.000317096,0.000590281,0.000375205,0.000220517,0.000337701,0.000741357,0.000607363,0.000349063,0.000349362,0.00031394,0.000555011
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0.000311508,0.000307213,0.000256682,0.000235339,0.000265038,0.000357279,0.000218579,0.00033003,0.000202671,0.000119058,0.000278735,0.00024432,0.000126055,0.000215951,0.00026392,0.000267441,0.000196352,0.000186945,0.00032093,0.000403241,0.000208466,0.000232189,0.000195114,0.00023852,0.000132012,0.000349716,0.000248655,0.000189115,0.000189243,0.000211196,0.000141809,0.000247904,0.000226638,0.00016627,0.000198147,0.000210137,4.28166e-05,0.000207626,0.000133721,0.000187428,0.00012114,0.000231938,0.000184017,0.000261879,0.000218281,0.000113692,0.000259829,0.000238014,0.000270346,0.000227507,0.00017889,0.000178043,0.000174474,0.000228132,0.000374228,0.00026741,0.000182518,0.00016969,0.000219942,0.000219208,7.99202e-05,0.000194007,0.000197904,0.000200015,0.000225146,6.45056e-05,0.000196265,0.000296212,0.000186068,0.000238719,0.000255684,0.0002207,0.000329865,0.000233739,0.000134815,0.000190519,9.16539e-05,0.000170745,0.000254468
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",0.000130235,1.34129e-05,1.55609e-05,0.000132456,0.000242055,0.00029411,0,0.000278549,6.49638e-05,0,2.67291e-06,8.2692e-05,1.78007e-05,0,0,0,0,0,4.50075e-06,0,3.33076e-05,4.89297e-05,4.48545e-05,0,0,6.74314e-06,0.000205701,0,1.89847e-06,0,4.06418e-05,9.44418e-05,0.000120471,3.45449e-05,5.26669e-05,0.000102032,0,1.44466e-05,2.22228e-05,1.59941e-05,0,5.23613e-06,3.11815e-05,0,0,1.372e-05,0,2.70365e-05,8.69865e-05,6.88129e-05,0,8.37039e-05,4.82141e-05,0,0,0,2.53414e-05,8.35317e-05,0,1.07543e-06,0,6.4902e-05,3.76159e-06,6.62941e-05,0,1.40909e-05,2.50659e-05,0.000255361,6.89993e-06,0.000109319,4.68565e-05,1.30279e-05,0,0.000166929,1.77158e-05,8.51885e-06,0,2.69034e-05,3.58937e-05
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",6.86093e-05,2.65884e-06,1.3162e-05,0.000141564,0.000357505,0.000418772,1.14364e-06,0.000495436,3.41818e-05,0,3.33211e-06,6.5559e-05,8.33902e-06,0,0,0,0,0,6.93131e-06,4.25236e-07,2.8214e-05,3.33307e-05,2.2155e-05,0,3.36569e-06,1.82687e-06,0.000245553,0,0,0,3.25356e-05,9.91597e-05,0.000121745,2.77539e-05,2.33988e-05,0.000114029,0,8.85126e-06,2.06315e-05,1.52638e-05,0,1.412e-06,1.24773e-05,0,1.85514e-06,4.14259e-06,0,8.91973e-06,1.86927e-05,5.04386e-05,0,8.58276e-05,1.95747e-05,1.32079e-06,1.88984e-06,1.3314e-06,8.66775e-06,6.93063e-05,8.0425e-07,1.75564e-06,2.51655e-06,5.09252e-05,1.47861e-06,4.75925e-05,0,2.16297e-05,9.44438e-06,0.00012384,1.96011e-05,9.9015e-05,1.28985e-05,7.95295e-06,0,0.000266837,8.61924e-06,3.19504e-06,2.88666e-06,1.19149e-05,3.314e-05
"PWY0-321: phenylacetate degradation I (aerobic)",2.57871e-06,0,0,4.92339e-06,4.8903e-05,2.16513e-06,0,1.51661e-07,0,0,0,3.64984e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03437e-07,0,0,0,3.2897e-06,0,0,4.07837e-06,7.11749e-07,0,0,0,0,0,0,0,2.48789e-06,0,0,0,0,9.25786e-07,0,2.88043e-06,0,0,6.66935e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70365e-05,0,9.95416e-06,3.42127e-07,0,0,0,0,0,0,1.03581e-06,0
"PWY0-41: allantoin degradation IV (anaerobic)",5.84718e-06,0,1.5793e-06,4.80783e-07,5.5228e-05,8.94599e-06,0,1.38375e-07,2.7689e-06,0,0,3.55071e-06,2.84545e-06,0,0,0,0,0,3.60706e-07,0,0,7.55704e-06,2.99544e-06,0,4.2145e-07,0,3.08789e-05,0,0,0,4.27354e-06,5.24106e-06,7.62243e-06,9.18915e-07,3.4447e-06,1.65261e-05,0,0,3.10299e-06,7.55206e-07,0,0,2.82727e-06,0,0,7.79765e-07,0,5.15199e-07,7.44098e-07,6.47661e-06,0,0,4.47141e-06,0,0,1.01221e-07,4.46483e-07,1.38275e-07,0,0,0,1.33416e-05,2.35557e-07,5.66325e-06,0,1.27531e-06,3.00211e-06,3.1281e-05,4.88362e-07,1.02196e-05,3.52844e-06,0,0,1.46703e-05,3.94879e-07,0,0,5.8934e-07,2.06117e-06
"PWY0-42: 2-methylcitrate cycle I",1.33928e-05,0,2.31596e-06,6.79259e-05,0.000214704,4.51091e-05,0,8.44753e-07,2.34187e-05,0,0,2.92539e-05,6.57212e-06,1.20391e-06,0,0,0,0,4.3172e-06,0,2.45245e-06,9.97271e-06,2.07041e-05,0,2.37789e-06,1.68128e-07,0.000105671,0,0,0,1.99905e-05,4.26021e-05,8.65881e-05,1.14775e-05,7.98613e-06,8.51185e-05,0,4.42097e-07,8.60075e-06,3.44435e-06,0,1.46065e-06,6.1123e-06,0,2.70704e-07,1.87477e-06,0,3.35228e-06,4.51092e-06,3.44643e-05,0,2.29815e-06,2.03614e-05,0,0,0,4.30763e-06,2.12632e-06,0,0,0,2.34548e-05,0,3.35564e-05,0,4.39549e-06,7.51956e-06,0.00013404,2.11396e-06,6.32186e-05,1.39559e-05,4.35158e-07,0,0.000108711,2.68101e-06,5.4896e-07,1.30163e-06,6.47808e-06,1.24727e-05
"PWY0-461: L-lysine degradation I",0,0,2.27477e-06,5.06433e-05,9.80385e-05,2.45213e-05,0,1.48587e-07,7.7174e-06,0,0,1.01815e-05,2.75561e-06,0,0,0,0,0,1.16381e-06,0,0,1.07098e-05,7.63643e-06,0,5.76039e-07,0,3.92017e-05,0,0,0,4.1191e-06,2.70481e-05,3.04732e-05,6.06764e-06,5.13583e-06,4.59804e-05,0,1.41544e-06,4.40491e-06,2.6261e-06,0,0,6.47571e-06,0,0,0,0,1.57702e-06,2.47684e-06,2.61559e-05,0,0,0,0,0,0,2.17788e-06,9.79655e-07,0,9.37377e-07,0,1.59164e-05,0,1.19993e-05,0,3.59472e-06,3.58285e-06,7.87576e-05,1.4012e-06,2.22646e-05,1.4563e-06,0,0,7.42899e-05,0,0,0,1.58837e-06,6.42939e-06
"PWY0-781: aspartate superpathway",0.000150668,0,2.04171e-05,0.000190213,0.000263653,0.00032636,0,4.2514e-06,6.38453e-05,0,7.11846e-06,0.000107004,3.5618e-05,1.63525e-05,0,0,7.34477e-06,0,2.44822e-05,0,7.13658e-05,6.65419e-05,7.27179e-05,0,3.72497e-06,0,0.000189851,0,1.80621e-05,0,4.41696e-05,0.000141795,0.000167597,4.06447e-05,3.02829e-05,0.000164039,0,2.87851e-05,3.46422e-05,1.47155e-05,0,9.85956e-06,5.12628e-05,4.37953e-06,0,1.95142e-05,1.16896e-05,2.11329e-05,5.01185e-05,0.000106409,0,0.000130333,5.32763e-05,8.98722e-06,0,8.0329e-06,2.34012e-05,0.000125344,0,4.80387e-06,0,0.000101474,4.70308e-06,6.38397e-05,0,2.38233e-05,6.64322e-05,0.000303449,1.50796e-05,0.000188467,6.24454e-05,2.33087e-05,3.60981e-06,0.000241045,9.15111e-06,1.75463e-05,0,2.8098e-05,5.52936e-05
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",0.000188533,0.00011785,7.80477e-05,0.00027442,0.000270824,0.000331443,0.000166665,0.000325572,0.00013033,0.000113581,0.000167045,0.000187531,8.37949e-05,0.000102934,6.53307e-05,3.73911e-05,0.000125835,0.000140022,0.000111992,0.000286585,0.000189602,0.000123862,0.000151343,0.000144994,0.000119005,0.00011487,0.000189454,0.000166946,0.00013789,6.78885e-05,3.20659e-05,0.000181233,0.000167079,0.0001955,0.000119663,0.000206125,4.04421e-05,4.11883e-05,0.000239492,0.000150061,3.92664e-05,0.000157069,0.000112687,7.49148e-05,0.000225186,4.85649e-05,6.9373e-05,6.20506e-05,0.000261538,0.00028086,0.000276169,0.000125866,0.000151383,0.000185773,7.73886e-05,0.000224383,0.000312362,0.000122359,0.000172573,0.000110161,2.94618e-06,9.23848e-05,7.11386e-05,0.000293668,0.000162192,3.69795e-05,6.85979e-05,0.000273634,0.00019198,9.97163e-05,0.000204414,4.43921e-05,0.000157812,0.00024508,0.000305692,4.48925e-05,2.832e-06,0.000110661,2.6248e-05
"PWY0-862: (5Z)-dodecenoate biosynthesis I",0.000407138,8.18332e-05,0.000122087,0.000392074,0.000354962,0.000436581,8.15582e-05,0.000428234,0.000189145,0.000140604,0.000135636,0.000247307,0.000118518,0.000230284,6.97563e-05,1.20063e-05,0.00056558,0.000117278,8.61843e-05,9.89157e-05,0.000149469,0.000183023,0.000363516,6.73375e-05,0.000207095,0.000255954,0.000349702,9.83786e-05,0.000105865,6.57799e-05,0.000134081,0.000361042,0.000291989,0.00016571,8.26106e-05,0.000264609,0,0.000115564,9.41335e-05,0.000153559,1.7057e-05,9.93357e-05,0.000100766,7.91607e-05,9.88211e-05,5.32255e-05,6.54346e-05,9.66323e-05,0.000128883,0.000287349,0.000159189,0.00018957,0.000144131,0.000135992,8.08217e-05,4.1187e-05,0.000264799,0.000192212,3.25885e-05,4.54701e-05,1.59297e-05,0.000221836,8.23292e-05,0.000204338,4.53688e-05,4.21518e-05,0.000109758,0.000484929,7.20027e-05,0.000217776,0.000143266,5.00359e-05,0.000100553,0.000361321,3.8829e-05,0.00010974,3.8818e-05,0.000132853,5.24893e-05
"PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY1G-0: mycothiol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0357e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11116e-06,0,0,0,0,5.20581e-07,0,0,0,1.9633e-06,0,0,0,0,0,0,9.2059e-07,0,0,0,0,0,0,0,0,0,8.45112e-06
"PWY1ZNC-1: assimilatory sulfate reduction IV",0.000159954,1.57549e-05,6.03853e-06,0.000120297,0.000202738,0.000349443,2.57964e-06,0.000397258,2.88868e-05,7.80842e-07,3.32269e-06,3.85147e-05,5.29531e-06,1.29783e-05,2.00272e-05,0,0,0,1.85759e-06,8.44081e-06,2.84652e-05,2.69051e-05,3.81905e-05,0,2.82078e-06,9.26104e-06,0.000131283,0,0,5.6879e-05,1.51245e-05,6.63155e-05,9.08626e-05,2.64661e-05,2.12744e-05,0.000104816,1.13006e-05,9.01203e-06,2.49505e-05,5.6524e-06,0,1.29196e-06,1.55863e-05,4.52501e-06,6.60062e-06,5.12108e-06,1.27339e-05,4.51492e-06,3.09984e-05,7.32514e-05,0,7.1925e-05,1.88235e-05,0,7.23118e-07,9.26446e-07,8.22773e-06,6.12228e-05,0,1.87444e-06,3.18674e-05,6.01337e-05,0,3.79712e-05,0,6.77708e-06,2.94819e-05,0.000111505,2.82619e-05,5.4628e-05,9.95174e-06,1.44103e-05,0,0.000134727,2.6328e-06,2.69716e-05,2.42966e-06,3.36567e-06,1.32908e-05
"PWY3DJ-12: ceramide de novo biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY3DJ-35471: L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)",0.000111539,0,3.51282e-06,0,5.95643e-05,0,0,0,0,0,1.98971e-06,0,1.78531e-06,1.14784e-06,1.37628e-06,0,0,0,0,0,0,1.59222e-06,0,0,0,0,0,0,0,0,3.0137e-06,7.40935e-07,0,0,0,0,0,0,0,0,0,0,0,0,7.28051e-07,0,0,0,1.21689e-05,0,0,7.58104e-05,0,0,0,0,0,6.32513e-05,0,0,0,1.48209e-06,0,0,0,0,0,0,0,0,0,1.03489e-06,0,0,0,1.05638e-05,0,5.27294e-06,0
"PWY3O-4107: NAD salvage pathway V (PNC V cycle)",8.01177e-05,4.02589e-06,1.22813e-05,0.000144766,4.64492e-05,3.26545e-05,6.98097e-06,0,3.1598e-05,2.29486e-05,1.46969e-06,8.53537e-05,2.81736e-05,6.47074e-06,0,0,1.14879e-06,0,6.33119e-05,0,2.12984e-05,3.82556e-05,6.10021e-05,0,2.31278e-06,9.10515e-06,0.000120867,0,6.44801e-06,0,3.33311e-05,8.66877e-05,0.0001079,4.22382e-05,3.31283e-05,0.000115326,0,1.2852e-05,4.11797e-05,1.73409e-05,0,1.84661e-06,2.35079e-05,5.67364e-05,0,2.39227e-06,3.44593e-05,1.39744e-05,2.88094e-05,0.000112386,0,2.40754e-05,5.37133e-05,0,6.32518e-05,8.28688e-06,1.21508e-05,5.27491e-05,4.03031e-06,2.60151e-05,6.79254e-06,8.8349e-05,1.82566e-06,4.4223e-05,0,3.43737e-05,3.45565e-05,0.000145689,3.85657e-06,0.000156988,4.18701e-05,7.37548e-06,6.52366e-06,0.000105167,2.6183e-06,1.30006e-05,1.89447e-05,2.06429e-05,6.47558e-05
"PWY490-3: nitrate reduction VI (assimilatory)",0,0,0,0,0,0,2.85162e-06,0,1.04907e-05,1.12772e-06,1.6984e-06,1.74922e-06,0,0,1.93269e-06,1.25901e-06,0,0,2.43361e-06,0,0,0,0,0,0,6.53894e-06,2.98195e-07,0,4.32148e-06,0,1.15674e-06,1.09016e-06,2.29849e-06,1.9382e-06,0,0,0,2.64129e-06,8.66873e-06,1.08847e-06,0,1.28152e-06,3.35571e-06,2.03954e-06,6.41659e-07,4.39687e-06,1.20389e-06,1.03565e-05,0,0,0,1.27847e-06,8.62572e-07,0,4.10587e-06,6.59015e-07,0,1.25216e-06,0,0,0,8.19633e-06,1.29324e-06,0,0,0,0,0,1.69925e-06,8.60247e-06,7.95146e-07,1.82025e-06,2.26437e-06,0,0,3.4486e-06,0,5.44896e-06,0
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)",0.000188442,6.31766e-05,5.64227e-05,0.000286612,0.000390941,0.000313607,0.000141132,0.000359303,0.000182727,0.000153463,0.000136952,0.00020138,8.9738e-05,0.000259402,0.000120719,8.99654e-05,9.96766e-05,0.000180916,0.000104645,0.000167686,8.39752e-05,0.000133482,0.000139292,0.000105435,0.000145993,0.000141698,0.00031016,0.000200058,0.000163941,6.72967e-05,0.000121623,0.000227041,0.000277802,0.000102503,0.000126702,0.000246981,4.50689e-05,6.4619e-05,0.000165914,0.000162389,4.75648e-05,7.08474e-05,0.000127344,9.75139e-05,0.000238169,0.000134057,8.38437e-05,0.000113906,9.99963e-05,0.000212911,4.26374e-05,0.000176382,0.000128461,0.000146356,0.000101632,0.000163389,0.000131584,0.00018325,0.000128348,8.55743e-05,8.48336e-05,0.000236458,0.000150505,0.000133627,0.000177371,5.37291e-05,0.000143949,0.000322652,0.000190998,0.000279491,0.000170762,0.000101592,0.000106939,0.000269874,0.000167765,7.02508e-05,0.00019392,0.000117649,0.000126821
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)",0.000188442,6.31766e-05,5.64227e-05,0.000286612,0.000390941,0.000313607,0.000141132,0.000359303,0.000182727,0.000153463,0.000136952,0.00020138,8.9738e-05,0.000259402,0.000120719,8.99654e-05,9.96766e-05,0.000180916,0.000104645,0.000167686,8.39752e-05,0.000133482,0.000139292,0.000105435,0.000145993,0.000141698,0.00031016,0.000200058,0.000163941,6.72967e-05,0.000121623,0.000227041,0.000277802,0.000102503,0.000126702,0.000246981,4.50689e-05,6.4619e-05,0.000165914,0.000162389,4.75648e-05,7.08474e-05,0.000127344,9.75139e-05,0.000238169,0.000134057,8.38437e-05,0.000113906,9.99963e-05,0.000212911,4.26374e-05,0.000176382,0.000128461,0.000146356,0.000101632,0.000163389,0.000131584,0.00018325,0.000128348,8.55743e-05,8.48336e-05,0.000236448,0.000150505,0.000133627,0.000177371,5.37291e-05,0.000143949,0.000322652,0.000190998,0.000279491,0.000170762,0.000101592,0.000106939,0.000269874,0.000167765,7.02508e-05,0.00019392,0.000117649,0.000126821
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)",0.00010409,1.03648e-05,2.6736e-05,0.000140551,0.00040266,0.000412225,2.34664e-06,0.00043366,4.03366e-05,2.73896e-06,1.58462e-06,9.35462e-05,2.1687e-05,4.23789e-05,1.41379e-05,1.95224e-05,6.26289e-06,1.0036e-05,1.76209e-05,4.25272e-05,2.3521e-05,4.13701e-05,5.59159e-05,3.07299e-05,1.44096e-05,7.75579e-06,0.000239004,1.01526e-05,2.89976e-05,6.02544e-06,5.67674e-05,5.13551e-05,2.60423e-05,3.46958e-05,4.27586e-05,0.000119271,0,1.4625e-05,3.7738e-05,1.44524e-05,9.60527e-06,5.59814e-06,6.2869e-05,7.89645e-06,3.96367e-06,2.68596e-05,9.93802e-06,1.96118e-05,5.41426e-05,0.000169178,1.59756e-05,3.34878e-05,5.76441e-05,6.01641e-07,1.2195e-05,7.04808e-06,4.98521e-05,6.02501e-05,2.42067e-06,2.0657e-05,1.22062e-05,8.49008e-05,5.22988e-06,7.96269e-05,9.55251e-06,1.95709e-05,4.69956e-05,0.000231518,2.76011e-05,0.000139021,5.19259e-05,1.6666e-05,6.9779e-06,0.000269298,4.91014e-05,1.75611e-05,5.27797e-07,5.00462e-05,8.65112e-05
"PWY5F9-12: biphenyl degradation",1.14746e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61911e-06
